radius,objective,sigma,lr,key,seed,status,error,kl,validation_nll,parameters,scale,initial_gradient_norm,reference_gradient_norm,scaled_initial_gradient_norm,sample_sha256,initial_sha256,mask_sha256,validation_sha256,seconds
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920022,ok,,1.0598633290443238,6.816268473050817,36,0.24690343386877067,0.24188242317015493,0.05972160087321035,0.05972160087321035,8a26aeffd04fc0e3f81ff8c380a58efa625f14cab3bfb56a0c0d9d74c77e6282,597e53178ab4ce4fb0f464c27686f2daccf42fa290cce95f7b850725f80a7a23,4a2f6926fccee2cb47703e19783c307dc784e42e94ce7b8761c7eb9649e6d5f0,c9d56ddf32b2be59bc33f14b23083cd9cd470e258cf55052497ca8ac1a508337,0.3857111250035814
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920023,ok,,0.9824095885666062,6.58951486293336,36,0.2138927021040767,0.25310675992408144,0.05413768880096961,0.05413768880096961,1bd96632c058e743edabd6e79e773880b68fc7bc092b3cbdc203c35baf5225fe,24115830772c49296165ad4592800533faa09cb5d3434e76dbc37c6b393502c7,d1727bfb3c5398f398479dc452e9f53e0b43096efa6a589d56b1cf8818718cfa,77cff88242699238ffdaae984e15794b4a9ad58820f7a9f4533bb42533d62652,0.3876698750027572
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920024,ok,,1.0108634147717295,6.699710080971143,36,0.18764034983567485,0.2535496798373982,0.04757615062541275,0.04757615062541275,ad0fdcfd03396a09dde5816e56596dbdec8b1e3708dc3bdea9e64a2e7dd1bd14,c361f0aa3a6c5a81f6adeeee0ef67166524cf52e06032ea211e3054f223f2097,36b8601677a28ff6bfa32e68984ac538372a44153c5156a7e0e81ead4019a77b,bb23d486e8e981b44caa7ba0a16dc5d1abbad38d553b3b51a0b953d8f56d69fa,0.3882829590002075
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920025,ok,,0.999609677418033,6.4726278567467395,36,0.2022708420150208,0.2592125108055739,0.052431132821471105,0.052431132821471105,566a69776379f641051d58d23a0b41c4d9fdaa0c24392f9c9d23541b7ef7dd19,76159365fa26317d0e1fb1362199003dfd9a39508b1a9fd21c16fbf89cd36710,1c2939a1ce5259ba32524190a09fe096161c07e9a3173ca644d87d2fd1fffcb8,7360cbd9d0342e0843d6f8b6d7e00b4bd56115eeb91629cc17086bae95411d4a,0.3851097500009928
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920026,ok,,0.7244760509829276,6.316635656243268,36,0.23704474316092308,0.24667307872567887,0.05847255659124271,0.05847255659124271,643e337b43976b518eb4044d1f22ee4002481f2ccc7e4b6b0f932b0ff7447d2a,caf2ed9dd7dac38cdfb39bcdc22bab6b9b6b716db7f18fbca6b848f6cc6a5e98,317b65a7df2f4f896899c9e6c769d6cda7f14447cee0ddda4d92ef0d5b4170ee,d9b5a51adeb8705808a200cadd75a75081548fe34c5d4b11aa0a3f1c3b0411b5,0.389695916994242
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920027,ok,,1.0501993862957308,6.6981288482759975,36,0.17811271319919486,0.23018260719772154,0.040998448699250706,0.040998448699250706,35517afbcb9b3ad6a2db907f35c38cfec9cc6949f2738feefe01cffcd7a07e53,7281eb76078d02fce2c7bf0ac043b4472c46160dd008abd865b12031968bf544,6de9df729fbb9dc5183e4e9ac6eba2705ccc0dda1659309a7a8c7c7762889cec,e3f21297494ebee27a95e026e174288f1453e94fdbbaf43d507d4b553aad4d5f,0.3887549159990158
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920028,ok,,1.122018179415119,6.755687625286444,36,0.18239941360380652,0.27473044808341407,0.05011067262952573,0.05011067262952574,3a5833f8fc87621cb8c9ea5dcc487a7a0b940d1d67d88ebc21e8f8af2d2113a8,1af8be5f736ba94df3e7f832bfba7aa45bec8afd4f69382f7af1cbe3f60baf41,96082efceda43417875e09fc0762c19e75ca78effce3bfcbff86d1c46e4914a9,e731f0821ee930196df019e43511752bb293ed1497b08d56b397448aa8f3cd64,0.3899907080049161
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920029,ok,,1.0823953730135862,6.646549763596421,36,0.18442598139180263,0.26259101460460915,0.04842860557312422,0.04842860557312422,1cb9f2c7c4dc3e784cfd145699528f5e7cdb09025afd3724ff976dbd5484bf04,cce7f1a4ab52dcda7cdeb722468424d8951d5aee61db25671282c3a42bb6690c,51d4eb9c909ea4fe172896f2abf5e0adca5912ce715ba15bf8b2742105e47d8e,8cf7d412faa6b2c270f9f8de1e02ed514374365971ddae82a8ba390975a6d0b9,0.38674645900027826
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920030,ok,,1.023316918607768,6.73344398134609,36,0.15466643358089585,0.23496790457866112,0.03634164780715776,0.03634164780715776,45c73958c9852b5f8e387614efd3efdf8a9f90c7af6a786f832f31196b26b038,47d0b4e58ee4da1dcd12bbb439fac0895ff5ddd2a544152ef43e42e90c343cb3,e543050289781415d11ba5119c867cb1a42730095ff599bf0a1aab18bd6e7be8,81995d3f62db96b8b01ffcd8b44f539b0728075d43c754c8f85a5ba4e914ab64,0.3884661249976489
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920031,ok,,1.0485061047963287,6.669558442569039,36,0.20564697707930737,0.24884533797324476,0.05117429151447636,0.05117429151447636,b670921905ed3add78cc6143a4a7db78dd1686c8ccb0e663bb06db4800c01abb,d0376ece66a65f8a2c3e04aeed12189a5d16457b07f7696199435417f21410a7,354bd2f39ee452c6c61ebae13c80772bd328e55e088eed52b2ebfd94ede5df14,7f56275a809d9f3b36a4fd7f71ebfefd5e1743396bd61510e332e8ff140de9ba,0.3879460000025574
