n,beta,seed,sigma,k,m,steps,protocol,model,init_seed,sample_seed,mask_seed,samples_sha256,masks_sha256,unique_masks,elite_size,elapsed_seconds,kl,support_mass,support_kl,conditional_kl,unseen_mass,region_mass_kl,within_region_kl,coverage_1000,recovery_1000,conditional_coverage_1000,coverage_2000,recovery_2000,conditional_coverage_2000,coverage_5000,recovery_5000,conditional_coverage_5000
12,0.9,112,1.0,128,200,600,matched,iqp-parity,11008,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,acc62d5ee4ca505ce9bc7fc3e01b2a1a3b4175fe20331622b388dcc9758e747e,97,294,0.6653380000498146,0.6795640716487628,1.0,-0.0,0.6795640716487628,0.47256306610892795,3.0609382102013676e-05,0.6795334622666608,0.10754407276209467,0.3657961658574649,0.10754407276209467,0.07193450950193872,0.48935040477509334,0.07193450950193872,0.037874714398824755,0.6441277958983802,0.037874714398824755
12,0.9,112,1.0,128,200,600,matched,iqp-mse,11008,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,acc62d5ee4ca505ce9bc7fc3e01b2a1a3b4175fe20331622b388dcc9758e747e,97,294,0.45084841700736433,0.45493192755813416,1.0,-0.0,0.45493192755813416,0.4374558299875562,0.0019689354976925103,0.4529629920604418,0.1159330342663767,0.39433004852509085,0.1159330342663767,0.07872089383329182,0.5355162845802165,0.07872089383329182,0.04175963861616276,0.7101979356490266,0.04175963861616276
12,0.9,112,1.0,256,200,600,matched,iqp-parity,11904,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,0afd4ab8e25a966a475b0ab6fe20bf43bb7fc37e8928f74d60eb5dc71bb86d69,174,294,0.5574413340073079,0.4199704462997311,1.0,-0.0,0.4199704462997311,0.4776363171400245,0.0001616599022473894,0.41980878639748404,0.1215393592622965,0.4133991811642738,0.1215393592622965,0.08173343209298957,0.5560097421291808,0.08173343209298957,0.043132513080384106,0.7335461408228588,0.043132513080384106
12,0.9,112,1.0,256,200,600,matched,iqp-mse,11904,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,0afd4ab8e25a966a475b0ab6fe20bf43bb7fc37e8928f74d60eb5dc71bb86d69,174,294,0.4181644170312211,0.48562906852289767,0.9999999999999999,1.1102230246251565e-16,0.48562906852289756,0.4354982082505672,0.002225059354204917,0.48340400916869275,0.11320985895968955,0.3850675474819372,0.11320985895968955,0.07722828974646478,0.5253625152820733,0.07722828974646478,0.041771952324539265,0.7104073524581507,0.041771952324539265
12,0.9,112,1.0,512,200,600,matched,iqp-parity,13696,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,b0126d22db14df8032614d0be237f7ba7f8faae015df79310d48a47a7e019709,279,294,0.7044262500712648,0.4083912913460821,1.0,-0.0,0.4083912913460821,0.466300525958114,1.1158258730109647e-05,0.40838013308735216,0.12362147499688937,0.42048120747241285,0.12362147499688937,0.08326750181611489,0.5664455905858156,0.08326750181611489,0.04371662672301715,0.7434800463098155,0.04371662672301715
12,0.9,112,1.0,512,200,600,matched,iqp-mse,13696,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,b0126d22db14df8032614d0be237f7ba7f8faae015df79310d48a47a7e019709,279,294,0.4488144170027226,0.499749619211589,0.9999999999999999,1.1102230246251565e-16,0.4997496192115889,0.4443972768290836,0.0011879986270528116,0.4985616205845361,0.10888876622029173,0.37036995313024396,0.10888876622029176,0.07460356100143868,0.5075072176968618,0.0746035610014387,0.0408132824429803,0.6941034429078282,0.0408132824429803
12,0.9,112,2.0,128,200,600,matched,iqp-parity,11008,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,cab22052982e11afdade852743d951fc38941455118f1f8bf11cbbc29ac3f1a3,40,294,0.6226735000964254,0.5775393052670886,1.0,-0.0,0.5775393052670886,0.5092824015835167,0.003302230518342282,0.5742370747487465,0.11187793084977343,0.38053717976113416,0.11187793084977343,0.07312114697097787,0.49742276851005346,0.07312114697097787,0.03789681128244166,0.6445035932388038,0.03789681128244166
12,0.9,112,2.0,128,200,600,matched,iqp-mse,11008,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,cab22052982e11afdade852743d951fc38941455118f1f8bf11cbbc29ac3f1a3,40,294,0.4670720000285655,0.45493192755813416,1.0,-0.0,0.45493192755813416,0.4374558299875562,0.0019689354976925103,0.4529629920604418,0.1159330342663767,0.39433004852509085,0.1159330342663767,0.07872089383329182,0.5355162845802165,0.07872089383329182,0.04175963861616276,0.7101979356490266,0.04175963861616276
12,0.9,112,2.0,256,200,600,matched,iqp-parity,11904,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,5a26aeb1c2cc725000214dfc75a35701a4d735cb30322260487fc8c970bd126e,63,294,0.6272394169354811,0.6630402050179384,1.0,-0.0,0.6630402050179384,0.4788908090232513,0.00020995440186998872,0.6628302506160686,0.118791218712393,0.4040517643278673,0.118791218712393,0.07760127887875054,0.5278998563180308,0.07760127887875054,0.039253265145273844,0.6675725364842491,0.039253265145273844
12,0.9,112,2.0,256,200,600,matched,iqp-mse,11904,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,5a26aeb1c2cc725000214dfc75a35701a4d735cb30322260487fc8c970bd126e,63,294,0.46749724994879216,0.48562906852289767,0.9999999999999999,1.1102230246251565e-16,0.48562906852289756,0.4354982082505672,0.002225059354204917,0.48340400916869275,0.11320985895968955,0.3850675474819372,0.11320985895968955,0.07722828974646478,0.5253625152820733,0.07722828974646478,0.041771952324539265,0.7104073524581507,0.041771952324539265
12,0.9,112,2.0,512,200,600,matched,iqp-parity,13696,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,e1239e9574a5b9ece5a6142b17dc18054822afbc56b1fe750ed4c81000928119,96,294,0.5801176659297198,0.7685483895199274,1.0,-0.0,0.7685483895199274,0.4717762980166456,1.9521720312420596e-05,0.7685288677996152,0.11593430995834027,0.3943343876134023,0.11593430995834027,0.07594514585921959,0.5166336453008136,0.07594514585921959,0.038583674513248456,0.6561849407015043,0.038583674513248456
12,0.9,112,2.0,512,200,600,matched,iqp-mse,13696,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,e1239e9574a5b9ece5a6142b17dc18054822afbc56b1fe750ed4c81000928119,96,294,0.4734384169569239,0.499749619211589,0.9999999999999999,1.1102230246251565e-16,0.4997496192115889,0.4443972768290836,0.0011879986270528116,0.4985616205845361,0.10888876622029173,0.37036995313024396,0.10888876622029176,0.07460356100143868,0.5075072176968618,0.0746035610014387,0.0408132824429803,0.6941034429078282,0.0408132824429803
12,0.9,112,3.0,128,200,600,matched,iqp-parity,11008,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,8baeda742d4b3e683c51229f2adc5bc8d24a9e5447e659ee7f69c7d8b79bf64b,29,294,0.6125665829749778,0.669650224813563,1.0,-0.0,0.669650224813563,0.5845943173550878,0.027195825946767033,0.6424543988667961,0.1163075942644542,0.39560406212399385,0.1163075942644542,0.07841169500164749,0.53341289116767,0.07841169500164749,0.04119723567587214,0.7006332597937439,0.04119723567587214
12,0.9,112,3.0,128,200,600,matched,iqp-mse,11008,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,8baeda742d4b3e683c51229f2adc5bc8d24a9e5447e659ee7f69c7d8b79bf64b,29,294,0.5325966250384226,0.45493192755813416,1.0,-0.0,0.45493192755813416,0.4374558299875562,0.0019689354976925103,0.4529629920604418,0.1159330342663767,0.39433004852509085,0.1159330342663767,0.07872089383329182,0.5355162845802165,0.07872089383329182,0.04175963861616276,0.7101979356490266,0.04175963861616276
12,0.9,112,3.0,256,200,600,matched,iqp-parity,11904,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,416dafa52d0a7e4e2266fd2cc04d235714d31a46479fe311bb07f07cb418aad5,40,294,0.6094374170061201,0.5844532535920475,1.0,-0.0,0.5844532535920475,0.5658892751851614,0.019033952509436222,0.5654193010826115,0.1142239959775516,0.38851699312092386,0.1142239959775516,0.07794867555868944,0.5302630990387036,0.07794867555868944,0.04183047365906674,0.7114026132494343,0.04183047365906674
12,0.9,112,3.0,256,200,600,matched,iqp-mse,11904,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,416dafa52d0a7e4e2266fd2cc04d235714d31a46479fe311bb07f07cb418aad5,40,294,0.4653806670103222,0.48562906852289767,0.9999999999999999,1.1102230246251565e-16,0.48562906852289756,0.4354982082505672,0.002225059354204917,0.48340400916869275,0.11320985895968955,0.3850675474819372,0.11320985895968955,0.07722828974646478,0.5253625152820733,0.07722828974646478,0.041771952324539265,0.7104073524581507,0.041771952324539265
12,0.9,112,3.0,512,200,600,matched,iqp-parity,13696,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,b71d6aa4d5b2aaf6555b176fac8c8cbaba223abbf548df8176da3ba5e7517c03,58,294,0.6090068339835852,0.4905737958291355,1.0,-0.0,0.4905737958291355,0.5238387544438995,0.00609480962923583,0.4844789861998998,0.1232590319466354,0.41924840798175306,0.1232590319466354,0.08332205400068218,0.5668166938821917,0.08332205400068218,0.043721855385634265,0.7435689691434398,0.043721855385634265
12,0.9,112,3.0,512,200,600,matched,iqp-mse,13696,119,334,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,b71d6aa4d5b2aaf6555b176fac8c8cbaba223abbf548df8176da3ba5e7517c03,58,294,0.4311034580459818,0.499749619211589,0.9999999999999999,1.1102230246251565e-16,0.4997496192115889,0.4443972768290836,0.0011879986270528116,0.4985616205845361,0.10888876622029173,0.37036995313024396,0.10888876622029176,0.07460356100143868,0.5075072176968618,0.0746035610014387,0.0408132824429803,0.6941034429078282,0.0408132824429803
12,0.9,113,0.5,128,200,600,matched,iqp-parity,11009,120,335,1130bcd06d370ab57f1bc3a67409c755b267648b80a0f46e840060bb010d3ab8,5b072a3ea0054e14f671912c1d96d6c346c944a7bb31903aa7a9a09f3c713d76,123,304,0.7480045000556856,0.6234647385190977,0.9999999999999999,1.1102230246251565e-16,0.6234647385190976,0.48442361780685605,0.0001811590903353713,0.6232835794287623,0.11132645859936456,0.36620545591896236,0.11132645859936457,0.07478356868870506,0.4919971624256912,0.07478356868870506,0.039912241670884814,0.6564513432711319,0.039912241670884814
