beta,seed,rule,parity_sigma,parity_k,mse_k,parity_kl,matched_mse_kl,selected_mse_kl,parity_validation_nll,mse_validation_nll
0.7,115,oracle,2.0,256,128,0.45395374216813494,0.45083386040823226,0.4028924646242677,7.244378128150711,7.081956150852379
0.7,115,validation,1.0,256,128,0.5906156634109764,0.45083386040823226,0.4028924646242677,7.174572515155045,7.081956150852379
0.7,116,oracle,2.0,256,128,0.4361359506011399,0.5852719331882787,0.511538747592457,7.135563980190728,7.237207875358695
0.7,116,validation,3.0,512,128,0.48577660904524816,0.6868767735319434,0.511538747592457,7.09029685182194,7.237207875358695
0.7,117,oracle,3.0,512,256,0.49747378355383487,0.5380123775979769,0.4809213553118733,7.11008344153654,7.0121348674278385
0.7,117,validation,3.0,512,256,0.49747378355383487,0.5380123775979769,0.4809213553118733,7.11008344153654,7.0121348674278385
0.7,118,oracle,1.0,256,256,0.5717866887335754,0.43132488264013613,0.43132488264013613,6.939453695947854,6.822524024003732
0.7,118,validation,1.0,256,256,0.5717866887335754,0.43132488264013613,0.43132488264013613,6.939453695947854,6.822524024003732
0.7,119,oracle,1.0,512,512,0.39216523681995885,0.39275048078820607,0.39275048078820607,7.117335426881379,7.055582777589575
0.7,119,validation,0.5,512,512,0.4406727844376829,0.39275048078820607,0.39275048078820607,7.0626257924625735,7.055582777589575
0.7,120,oracle,1.0,256,128,0.44819442947875276,0.4635370877334375,0.43643691522701034,7.274413051203647,7.336598037620412
0.7,120,validation,2.0,256,256,0.501430564424297,0.4635370877334375,0.4635370877334375,7.214885711460658,7.207453281994398
0.8,111,oracle,0.5,512,128,0.45597176849685234,0.37499075474472765,0.34052705071210104,6.682667812888798,6.680863187008818
0.8,111,validation,0.5,512,256,0.45597176849685234,0.37499075474472765,0.361064227892155,6.682667812888798,6.534575968283454
0.8,112,oracle,1.0,256,128,0.44760748970528325,0.5116389113756258,0.511621944395349,6.460922114273806,6.669939947262714
0.8,112,validation,1.0,256,256,0.44760748970528325,0.5116389113756258,0.5116389113756258,6.460922114273806,6.664003899626996
0.8,113,oracle,0.5,512,128,0.4064853686586458,0.5281977859733462,0.45722732921039777,6.735119462871459,6.901776902004468
0.8,113,validation,0.5,512,256,0.4064853686586458,0.5281977859733462,0.463926529400142,6.735119462871459,6.849536681996776
0.8,114,oracle,1.0,512,512,0.33550512659682075,0.391632905466027,0.391632905466027,6.803366779044725,6.7229673486508315
0.8,114,validation,0.5,256,512,0.3877154677029558,0.5182633446388771,0.391632905466027,6.672664113639979,6.7229673486508315
0.8,115,oracle,2.0,256,128,0.3370102077106983,0.5177774814492029,0.46752483150085555,6.58788576133399,6.780847066674392
0.8,115,validation,2.0,256,128,0.3370102077106983,0.5177774814492029,0.46752483150085555,6.58788576133399,6.780847066674392
0.8,116,oracle,2.0,512,512,0.38561725012659676,0.4850341277469764,0.4850341277469764,6.48725954042485,6.537845125471429
0.8,116,validation,2.0,512,512,0.38561725012659676,0.4850341277469764,0.4850341277469764,6.48725954042485,6.537845125471429
0.8,117,oracle,1.0,512,256,0.4162824185196883,0.4662208587577509,0.4381316035943186,6.6063931716796995,6.7542265962267365
0.8,117,validation,1.0,512,512,0.4162824185196883,0.4662208587577509,0.4662208587577509,6.6063931716796995,6.672937619586933
0.8,118,oracle,1.0,512,256,0.3972325252003082,0.3906941266309577,0.3561544298857827,6.482410338379042,6.453562483280945
0.8,118,validation,1.0,512,256,0.3972325252003082,0.3906941266309577,0.3561544298857827,6.482410338379042,6.453562483280945
0.8,119,oracle,1.0,512,512,0.39589011789520545,0.4211761466686439,0.4211761466686439,6.919675095749046,7.021985023159002
0.8,119,validation,1.0,512,512,0.39589011789520545,0.4211761466686439,0.4211761466686439,6.919675095749046,7.021985023159002
0.8,120,oracle,1.0,512,128,0.46243025071871385,0.42743662766911794,0.4156374331866294,6.801608266841273,6.782502470141019
0.8,120,validation,2.0,256,512,0.5429672056688278,0.4732026128281365,0.42743662766911794,6.753122532407093,6.658497664768698
0.9,111,oracle,2.0,512,512,0.4294578718493476,0.4287738792810607,0.4287738792810607,6.076103351513524,5.986405680954427
0.9,111,validation,2.0,256,512,0.4299493551332795,0.4295313518162679,0.4287738792810607,5.956487442581668,5.986405680954427
0.9,112,oracle,1.0,512,128,0.4083912913460821,0.499749619211589,0.45493192755813416,5.777736390800272,5.8136120777590286
0.9,112,validation,1.0,512,128,0.4083912913460821,0.499749619211589,0.45493192755813416,5.777736390800272,5.8136120777590286
0.9,113,oracle,2.0,512,128,0.33518188452955033,0.4129812432908444,0.35942315876742886,6.113116811619209,6.082775500634667
0.9,113,validation,2.0,512,128,0.33518188452955033,0.4129812432908444,0.35942315876742886,6.113116811619209,6.082775500634667
0.9,114,oracle,0.5,512,128,0.418121959691971,0.4997495025589507,0.35634240749502527,6.443752405891176,6.243886260195301
0.9,114,validation,0.5,256,128,0.4885074369935918,0.48598506990332757,0.35634240749502527,6.363449022599191,6.243886260195301
0.9,115,oracle,2.0,256,256,0.387392937071494,0.511160106897565,0.511160106897565,5.906248649938821,6.031429722242788
0.9,115,validation,2.0,256,256,0.387392937071494,0.511160106897565,0.511160106897565,5.906248649938821,6.031429722242788
0.9,116,oracle,1.0,512,256,0.4098380853949779,0.44880164819915075,0.3967808207472693,5.9942364545575355,5.917168004961693
0.9,116,validation,0.5,512,256,0.46056624001436236,0.44880164819915075,0.3967808207472693,5.969572273544373,5.917168004961693
0.9,117,oracle,3.0,512,256,0.466854115102668,0.6002024550426969,0.5457755353672442,5.932296507776082,6.058510788736189
0.9,117,validation,3.0,512,512,0.466854115102668,0.6002024550426969,0.6002024550426969,5.932296507776082,5.953540588356157
0.9,118,oracle,2.0,512,256,0.35348524454882246,0.4335840127222827,0.4004660978311093,6.247565365990401,6.2639784612357
0.9,118,validation,1.0,256,128,0.44614700594809475,0.4004660978311093,0.4410203523808923,6.212344904574715,6.241858044247442
0.9,119,oracle,1.0,256,256,0.44684992091811127,0.41438050745497984,0.41438050745497984,6.1628442359204145,6.08249752279266
0.9,119,validation,1.0,256,256,0.44684992091811127,0.41438050745497984,0.41438050745497984,6.1628442359204145,6.08249752279266
0.9,120,oracle,3.0,512,512,0.4238828757388461,0.4061603912167334,0.4061603912167334,6.0601458214082164,6.105246320744138
0.9,120,validation,0.5,512,128,0.44808059750648543,0.4061603912167334,0.4186184673914305,6.0232102535651,6.0301610972567
1.0,111,oracle,1.0,512,512,0.3338821761535955,0.3769201414229346,0.3769201414229346,5.460757511410557,5.469315402006488
1.0,111,validation,1.0,512,512,0.3338821761535955,0.3769201414229346,0.3769201414229346,5.460757511410557,5.469315402006488
1.0,112,oracle,3.0,256,256,0.44124826940095724,0.48905894773987424,0.48905894773987424,5.2420679282512275,5.305875850246834
1.0,112,validation,3.0,256,128,0.44124826940095724,0.48905894773987424,0.5048881673774732,5.2420679282512275,5.221900236469796
1.0,113,oracle,2.0,512,128,0.3269128184905815,0.49376979787907727,0.3786148552872124,5.357374226648476,5.358234009919222
1.0,113,validation,2.0,512,128,0.3269128184905815,0.49376979787907727,0.3786148552872124,5.357374226648476,5.358234009919222
1.0,114,oracle,1.0,256,128,0.383329638313965,0.5079123844910477,0.3899808415066327,5.5513283850488815,5.583643267081369
1.0,114,validation,1.0,256,128,0.383329638313965,0.5079123844910477,0.3899808415066327,5.5513283850488815,5.583643267081369
1.0,115,oracle,1.0,256,128,0.4662972954470946,0.48967428944521535,0.41948176600356923,5.328367717226347,5.302381155077308
1.0,115,validation,1.0,128,128,0.5032763099770077,0.41948176600356923,0.41948176600356923,5.317632434653547,5.302381155077308
1.0,116,oracle,0.5,512,256,0.4363492377379249,0.39188312876641085,0.3789735547304236,5.134996602452539,5.146955664068255
1.0,116,validation,0.5,512,512,0.4363492377379249,0.39188312876641085,0.39188312876641085,5.134996602452539,5.139040783828888
1.0,117,oracle,3.0,512,256,0.46296624878509834,0.4593351464835348,0.44854042201413485,5.497072716785242,5.564876915421654
1.0,117,validation,3.0,512,512,0.46296624878509834,0.4593351464835348,0.4593351464835348,5.497072716785242,5.507014688972609
1.0,118,oracle,2.0,512,512,0.3943704894710077,0.4361578782559952,0.4361578782559952,5.52152033058748,5.577877169844355
1.0,118,validation,2.0,512,256,0.3943704894710077,0.4361578782559952,0.44926437839555233,5.52152033058748,5.573273889968745
1.0,119,oracle,1.0,512,256,0.44880249222899427,0.48791628126335773,0.45181118087717137,5.653494623946001,5.669750571596145
1.0,119,validation,1.0,512,256,0.44880249222899427,0.48791628126335773,0.45181118087717137,5.653494623946001,5.669750571596145
1.0,120,oracle,2.0,512,512,0.42707179261667,0.4406229055940622,0.4406229055940622,5.542868064942472,5.4980135273291
1.0,120,validation,1.0,512,512,0.44111675133644945,0.4406229055940622,0.4406229055940622,5.505906475427062,5.4980135273291
1.1,111,oracle,0.5,512,256,0.4080177859426586,0.37857074503243315,0.3546877243335013,4.8830182458314395,4.817233432344618
1.1,111,validation,0.5,512,256,0.4080177859426586,0.37857074503243315,0.3546877243335013,4.8830182458314395,4.817233432344618
1.1,112,oracle,1.0,512,128,0.40228873859375947,0.5118830336698872,0.42098510643994147,4.813804866049554,4.859573247654726
1.1,112,validation,1.0,512,128,0.40228873859375947,0.5118830336698872,0.42098510643994147,4.813804866049554,4.859573247654726
1.1,113,oracle,3.0,128,128,0.4226890218268435,0.41909111513092134,0.41909111513092134,4.763976943724007,4.713333625607235
1.1,113,validation,2.0,128,128,0.42514386155939143,0.41909111513092134,0.41909111513092134,4.694265984596921,4.713333625607235
1.1,114,oracle,1.0,256,512,0.35687130566094505,0.4418240299993681,0.40190554356732805,5.201064620092989,5.197625860424532
