n,beta,seed,sigma,k,m,steps,protocol,model,init_seed,sample_seed,mask_seed,samples_sha256,masks_sha256,unique_masks,elite_size,elapsed_seconds,kl,support_mass,support_kl,conditional_kl,unseen_mass,region_mass_kl,within_region_kl,coverage_1000,recovery_1000,conditional_coverage_1000,coverage_2000,recovery_2000,conditional_coverage_2000,coverage_5000,recovery_5000,conditional_coverage_5000
12,0.1,117,1.0,512,200,600,matched,iqp-parity,13701,124,339,23ceea7e33ef5ba19d947d36e6920e048b6156cdc232141ea7b612f5858de2fb,6d2e8203ab09f7481803ba6cac1d0fef11989f0d29cc5ddaeca62054fed6f238,266,342,0.6099669999675825,0.6460655824612795,1.0,-0.0,0.6460655824612795,0.9025642736524208,0.00011188224194528563,0.6459537002193343,0.12471634470092581,0.3646676745641106,0.12471634470092581,0.09109089151344611,0.5326952720084568,0.09109089151344611,0.05011320662811184,0.7326492197092375,0.05011320662811184
12,0.1,117,1.0,512,200,600,matched,iqp-mse,13701,124,339,23ceea7e33ef5ba19d947d36e6920e048b6156cdc232141ea7b612f5858de2fb,6d2e8203ab09f7481803ba6cac1d0fef11989f0d29cc5ddaeca62054fed6f238,266,342,0.42433470801915973,0.465093676699959,1.0,-0.0,0.465093676699959,0.8887753603104968,0.001761693850426467,0.46333198284953253,0.12459104131851012,0.36430129040500037,0.12459104131851012,0.09313364488806704,0.5446411981758307,0.09313364488806704,0.05252639555513383,0.76792975957798,0.05252639555513383
12,0.1,117,1.0,512,200,600,matched,ising-parity,30118,124,339,23ceea7e33ef5ba19d947d36e6920e048b6156cdc232141ea7b612f5858de2fb,6d2e8203ab09f7481803ba6cac1d0fef11989f0d29cc5ddaeca62054fed6f238,266,342,0.3197922499384731,0.8912323298111406,0.4999999481618912,0.6931472842361683,0.1980850455749723,0.44815098295231504,0.0006318276107563341,0.19745321796421594,0.07484471752143738,0.21884420327905668,0.12952881769844174,0.06475757237187725,0.37869925363670903,0.1007397320990078,0.045122126159364236,0.659680207008249,0.05811959956840083
12,0.1,117,1.0,512,200,600,matched,ising-nll,30121,124,339,23ceea7e33ef5ba19d947d36e6920e048b6156cdc232141ea7b612f5858de2fb,6d2e8203ab09f7481803ba6cac1d0fef11989f0d29cc5ddaeca62054fed6f238,266,342,0.14479749999009073,0.8468345126448875,0.5000012830683386,0.6931446144265607,0.1536898982183268,0.44039534124474244,0.0034975474238238824,0.15019235079450274,0.07506901375921392,0.21950004023161965,0.12987090301012302,0.06492870247790038,0.37970001449064544,0.10092167528142083,0.04518194450539181,0.6605547442308745,0.05806558874013281
12,0.1,117,1.0,512,200,600,matched,transformer,35618,124,339,23ceea7e33ef5ba19d947d36e6920e048b6156cdc232141ea7b612f5858de2fb,6d2e8203ab09f7481803ba6cac1d0fef11989f0d29cc5ddaeca62054fed6f238,266,342,4.189767208066769,1.1711796974804318,0.501939251387006,0.6892761797863874,0.4819035176940444,0.41569380493180885,0.02535065904840414,0.45655285864564005,0.059302136578436776,0.17339806017086776,0.09995814904435306,0.05010840205761935,0.2930315909802301,0.07682084269889282,0.03453382137739206,0.504880429494036,0.045656037371529214
12,0.1,117,1.0,512,200,600,matched,maxent,36118,124,339,23ceea7e33ef5ba19d947d36e6920e048b6156cdc232141ea7b612f5858de2fb,6d2e8203ab09f7481803ba6cac1d0fef11989f0d29cc5ddaeca62054fed6f238,266,342,0.1948965829797089,1.4743459890407764,0.503325046612769,0.686519101660045,0.7878268873807314,0.36489968822014907,0.10229431674491808,0.6855325706358133,0.05445985975116197,0.15923935599754963,0.09101680777019748,0.045710737170587205,0.2673142524595743,0.0696910454063328,0.03140150523135252,0.4590863337917035,0.04200192674315846
12,0.1,118,1.0,512,200,600,matched,iqp-parity,13702,125,340,aedcc8ac3b843e782d475b6a13e5a3b66539e0a2b3ae24973918ce9096c58c2c,3672d037714419789c221c8c7564a09d4bd2e60bbf08a0fa3cd13f9a40a45c57,258,342,0.6080109579488635,0.5123153947831347,1.0,-0.0,0.5123153947831347,0.8853349370092735,0.0015054657194149418,0.5108099290637197,0.12470547912331426,0.36463590386934,0.12470547912331426,0.09295428595699969,0.5435923155380098,0.09295428595699969,0.052011767810546894,0.7604059621424984,0.052011767810546894
12,0.1,118,1.0,512,200,600,matched,iqp-mse,13702,125,340,aedcc8ac3b843e782d475b6a13e5a3b66539e0a2b3ae24973918ce9096c58c2c,3672d037714419789c221c8c7564a09d4bd2e60bbf08a0fa3cd13f9a40a45c57,258,342,0.4056410000193864,0.4931103695392295,1.0,-0.0,0.4931103695392295,0.8806678432888875,0.002382317509197679,0.4907280520300317,0.12596469515000455,0.36831782207603675,0.12596469515000455,0.09290482484051843,0.5433030692427978,0.09290482484051843,0.05160017081049143,0.7543884621416876,0.05160017081049143
12,0.1,118,1.0,512,200,600,matched,ising-parity,30119,125,340,aedcc8ac3b843e782d475b6a13e5a3b66539e0a2b3ae24973918ce9096c58c2c,3672d037714419789c221c8c7564a09d4bd2e60bbf08a0fa3cd13f9a40a45c57,258,342,0.3278681250521913,0.8035517637012402,0.5000000086054068,0.6931471633491318,0.1104046003521083,0.4406805485146907,0.0022407460916693614,0.10816385426043888,0.07912244184717748,0.2313521691437938,0.1368188766061696,0.06840217477187037,0.40001271796415416,0.10618240007698404,0.04748529783144301,0.6942295004596931,0.060485474204844035
12,0.1,118,1.0,512,200,600,matched,ising-nll,30122,125,340,aedcc8ac3b843e782d475b6a13e5a3b66539e0a2b3ae24973918ce9096c58c2c,3672d037714419789c221c8c7564a09d4bd2e60bbf08a0fa3cd13f9a40a45c57,258,342,0.1534460000693798,0.9025397301798473,0.5000091469784566,0.6931288867703645,0.2094108434094828,0.4318701724786932,0.006958218119961605,0.20245262528952115,0.07648952726941469,0.22365358850706046,0.12994041553285576,0.06496395890827691,0.3799061924460638,0.09919587540754438,0.044244437055157425,0.6468484949584419,0.056788578861031884
12,0.1,118,1.0,512,200,600,matched,transformer,35619,125,340,aedcc8ac3b843e782d475b6a13e5a3b66539e0a2b3ae24973918ce9096c58c2c,3672d037714419789c221c8c7564a09d4bd2e60bbf08a0fa3cd13f9a40a45c57,258,342,4.190137666999362,1.0436669270997916,0.6905063208398564,0.37033015217055115,0.6733367749292405,0.5496691370285408,0.0412536138392621,0.6320831610899786,0.08018655529143796,0.23446361196326893,0.10174711702814032,0.06120698033777125,0.357935557530826,0.07374684886949956,0.03698689677911674,0.5407441049578471,0.04182518269066592
12,0.1,118,1.0,512,200,600,matched,maxent,36119,125,340,aedcc8ac3b843e782d475b6a13e5a3b66539e0a2b3ae24973918ce9096c58c2c,3672d037714419789c221c8c7564a09d4bd2e60bbf08a0fa3cd13f9a40a45c57,258,342,0.16573720797896385,1.4580059261547662,0.5029999341345037,0.687165239827727,0.7708406863270392,0.36463062784210165,0.09652625787697,0.6743144284500693,0.06552491138054324,0.19159330813024342,0.10727050307751006,0.053838075888966476,0.3148425490582835,0.0798600123796435,0.03559357277669065,0.5203738710042494,0.046105196730063844
