architecture,beta,conditional_kl,coverage_1000,key,kl,l2,lr,model,parameters,recovery_1000,region_mass_kl,sample_sha256,seconds,seed,sigma,steps,support_aware,support_kl,support_mass,unseen_mass,validation_nll,validation_sha256,within_region_kl
dense,0.9,0.44756144973219436,0.12332686658675845,ising-nll_dense_s1_lr0.005_t600_support,0.44756144973219447,0.0,0.005,ising-nll,78,0.4194791380501988,0.0011870168366939077,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,0.3803102499805391,112,1.0,600,True,1.1102230246251565e-16,0.9999999999999999,0.4930067080167507,6.086249591767899,3dd0b47c3c1ce23069083c16d0c2272714da54db5025db5646fd1228b010a5e8,0.44637443289550033
dense,0.9,0.36770373744330914,0.1362637375144668,ising-nll_dense_s1_lr0.005_t600_support,0.3677037374433089,0.0,0.005,ising-nll,78,0.4482359786660092,0.0014394048336769695,1130bcd06d370ab57f1bc3a67409c755b267648b80a0f46e840060bb010d3ab8,0.36234625009819865,113,1.0,600,True,-2.2204460492503128e-16,1.0000000000000002,0.5207555501099308,5.971179840391511,db95c591d5ad7a1f08531cf0e04985b931fc730f28e8ed47b8c7c5d8ecd8db0c,0.3662643326096322
dense,0.9,0.3987806464126459,0.1260153582699854,ising-nll_dense_s1_lr0.005_t600_support,0.3987806464126459,0.0,0.005,ising-nll,78,0.4271707059999505,0.00494060792819509,c8a7a565f4c34afcedf377bd8a33aee023bbafec99430b278d5183f906311b3e,0.42287849995773286,114,1.0,600,True,-0.0,1.0,0.4997100187394347,6.089021146493369,52ceac77e1e0c99a5de90b23d52d3e2f15eb08da92d5b6842d3e92834a138f22,0.3938400384844509
dense,0.9,0.38153626148944964,0.1352426142823835,ising-nll_dense_s1_lr0.005_t600_support,0.38153626148944975,0.0,0.005,ising-nll,78,0.4523164357270351,0.0019621346734594314,21e3187a25ce542a7fda12331f6df5573b7aa9cfb19c4d6a1242f48e9ab77257,0.4030838339822367,115,1.0,600,True,1.1102230246251565e-16,0.9999999999999999,0.5082435018310476,5.9473435767798914,c3a0cabd7487508470d585545f7b6a856897b0410105302f1b4d5c12944c190d,0.37957412681599034
dense,0.9,0.5070614575980691,0.12039022661956955,ising-nll_dense_s1_lr0.005_t600_support,0.5070614575980686,0.0,0.005,ising-nll,78,0.39472205449039194,0.004896226737870046,b240340bda42b13e461b839e854e8931eb9b197c11fad589d1f07877b5a6c105,0.3860159170581028,116,1.0,600,True,-4.440892098500625e-16,1.0000000000000004,0.4672594596853152,6.185711073794914,0d285e8573294ff0f8d626c9d7c79b1ffa6d14fb3071ba7be902aa48627a1c7e,0.502165230860199
dense,0.9,0.3784560006823713,0.13109684442968433,ising-nll_dense_s1_lr0.005_t600_support,0.3784560006823714,0.0,0.005,ising-nll,78,0.4428947446948795,0.0027494964658979423,2ff937c83d36f7b3a5406c91e8755c50ce932575e34db68925452587b0ab77d6,0.39291045896243304,117,1.0,600,True,1.1102230246251565e-16,0.9999999999999999,0.5055586270731278,6.014650876028564,32821079a74fe63f445d951a557ad18447fced01821fc77b6b8d137d2fe48881,0.3757065042164734
dense,0.9,0.3816336027068489,0.13283073004647805,ising-nll_dense_s1_lr0.005_t600_support,0.3816336027068489,0.0,0.005,ising-nll,78,0.4628248433675193,0.005375232537725948,f9372f8f74b3a18b86f9a9dd960278381003e836073cde71119d3b892dde9434,0.4558215420693159,118,1.0,600,True,-0.0,1.0,0.49792910214352476,6.0969190760484056,ffdd2708cda2855a18fd4a81398631fadb59f1610b8dd3d36eefe8f678572c16,0.376258370169123
dense,0.9,0.4072629416401844,0.12653376150116444,ising-nll_dense_s1_lr0.005_t600_support,0.4072629416401842,0.0,0.005,ising-nll,78,0.428928005088693,4.708857941734899e-05,9cc5a5818d004f0f1492c246ba3ab8685b2df3f7dfd15cdf113ebebec42d8dee,0.37834383302833885,119,1.0,600,True,-2.2204460492503128e-16,1.0000000000000002,0.4685565097484422,6.016897452017527,01bf4e2b10f88360652600d185a9d719f05502f25f089d70da96eafa7fe4dfe3,0.407215853060767
dense,0.9,0.320869354935331,0.14200013336042053,ising-nll_dense_s1_lr0.005_t600_support,0.320869354935331,0.0,0.005,ising-nll,78,0.4829936508857841,0.0099594001155896,69e5aaf107b63f46b6b057dfe99d3189e4f485b9649136f1718f398f646e43c6,0.3412029159953818,120,1.0,600,True,-0.0,1.0,0.539690318651621,6.001422723798481,dff4b17a330f664ec4d31f507c7603e7842ac94d65226c760d6e78cfa953aeb7,0.3109099548197415
dense,0.9,0.3845328240104672,0.1310882402549825,ising-nll_dense_s1_lr0.02_t100_support,0.38453282401046673,0.0,0.02,ising-nll,78,0.4535925268338495,0.00626608563812768,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,0.05541224998887628,111,1.0,100,True,-4.440892098500625e-16,1.0000000000000004,0.511023162017626,6.124969376816642,ff013eda1d426d67006a334f6583897c614d689f5823b14c442be63e78bb3962,0.3782667383723397
dense,0.9,0.43962735458088015,0.12346557938057133,ising-nll_dense_s1_lr0.02_t100_support,0.4396273545808797,0.0,0.02,ising-nll,78,0.41995095027405216,0.001194556747361384,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,0.06453733402304351,112,1.0,100,True,-4.440892098500625e-16,1.0000000000000004,0.4930839844899557,6.077912945565491,3dd0b47c3c1ce23069083c16d0c2272714da54db5025db5646fd1228b010a5e8,0.43843279783351896
dense,0.9,0.3639931688842657,0.1363393017513569,ising-nll_dense_s1_lr0.02_t100_support,0.36399316888426547,0.0,0.02,ising-nll,78,0.4484845452347266,0.0015215527059229544,1130bcd06d370ab57f1bc3a67409c755b267648b80a0f46e840060bb010d3ab8,0.06147666706237942,113,1.0,100,True,-2.2204460492503128e-16,1.0000000000000002,0.5215093876968205,5.967659607699871,db95c591d5ad7a1f08531cf0e04985b931fc730f28e8ed47b8c7c5d8ecd8db0c,0.36247161617834295
dense,0.9,0.389282263041271,0.12601899012138554,ising-nll_dense_s1_lr0.02_t100_support,0.389282263041271,0.0,0.02,ising-nll,78,0.42718301736062897,0.005040938884833951,c8a7a565f4c34afcedf377bd8a33aee023bbafec99430b278d5183f906311b3e,0.05416358390357345,114,1.0,100,True,-0.0,1.0,0.5002125630829658,6.077721385042494,52ceac77e1e0c99a5de90b23d52d3e2f15eb08da92d5b6842d3e92834a138f22,0.3842413241564372
dense,0.9,0.3700100836139677,0.13552818922926638,ising-nll_dense_s1_lr0.02_t100_support,0.3700100836139677,0.0,0.02,ising-nll,78,0.45327153588383406,0.0019328767477239696,21e3187a25ce542a7fda12331f6df5573b7aa9cfb19c4d6a1242f48e9ab77257,0.0647552500013262,115,1.0,100,True,-0.0,1.0,0.5080091334643518,5.934935371593459,c3a0cabd7487508470d585545f7b6a856897b0410105302f1b4d5c12944c190d,0.3680772068662438
dense,0.9,0.48835129870651,0.12148167935227808,ising-nll_dense_s1_lr0.02_t100_support,0.4883512987065098,0.0,0.02,ising-nll,78,0.398300588040256,0.004440175007873089,b240340bda42b13e461b839e854e8931eb9b197c11fad589d1f07877b5a6c105,0.0567081660265103,116,1.0,100,True,-2.2204460492503128e-16,1.0000000000000002,0.46961239617075734,6.166620444818956,0d285e8573294ff0f8d626c9d7c79b1ffa6d14fb3071ba7be902aa48627a1c7e,0.48391112369863687
dense,0.9,0.3728055259744084,0.13137617743767482,ising-nll_dense_s1_lr0.02_t100_support,0.3728055259744084,0.0,0.02,ising-nll,78,0.44383843728944194,0.0029939987231144896,2ff937c83d36f7b3a5406c91e8755c50ce932575e34db68925452587b0ab77d6,0.06373262498527765,117,1.0,100,True,-0.0,1.0,0.507172227160283,6.008082785427797,32821079a74fe63f445d951a557ad18447fced01821fc77b6b8d137d2fe48881,0.36981152725129407
dense,0.9,0.3723333046568225,0.13310307991819814,ising-nll_dense_s1_lr0.02_t100_support,0.3723333046568223,0.0,0.02,ising-nll,78,0.4637737976243838,0.005451835598882439,f9372f8f74b3a18b86f9a9dd960278381003e836073cde71119d3b892dde9434,0.05998241598717868,118,1.0,100,True,-2.2204460492503128e-16,1.0000000000000002,0.49829757859863083,6.087468961009426,ffdd2708cda2855a18fd4a81398631fadb59f1610b8dd3d36eefe8f678572c16,0.3668814690579402
dense,0.9,0.40646094442290437,0.1265688967212036,ising-nll_dense_s1_lr0.02_t100_support,0.40646094442290437,0.0,0.02,ising-nll,78,0.42904710752950376,5.770021456649212e-05,9cc5a5818d004f0f1492c246ba3ab8685b2df3f7dfd15cdf113ebebec42d8dee,0.06088445906061679,119,1.0,100,True,-0.0,1.0,0.46907459793966894,6.015566169945853,01bf4e2b10f88360652600d185a9d719f05502f25f089d70da96eafa7fe4dfe3,0.406403244208338
dense,0.9,0.319914369154365,0.14198235021735928,ising-nll_dense_s1_lr0.02_t100_support,0.319914369154365,0.0,0.02,ising-nll,78,0.48293316400462344,0.010026466824199803,69e5aaf107b63f46b6b057dfe99d3189e4f485b9649136f1718f398f646e43c6,0.05604908394161612,120,1.0,100,True,-0.0,1.0,0.5399262720951528,6.001389338517986,dff4b17a330f664ec4d31f507c7603e7842ac94d65226c760d6e78cfa953aeb7,0.3098879023301652
