radius,objective,sigma,lr,beta,seed,key,parameters,status,error,kl,validation_nll,recovery_1000,coverage_1000,sample_sha256,validation_sha256,mask_sha256,initial_sha256,seconds,role
1,mse,0.75,0.02,0.9,300021,r1_mse_sigma0.75_lr0.02,12,ok,,0.6346984100056781,6.2269927586556495,0.375464420096274,0.11151293276859339,fa4b7bfd5394097ae05f683e9cb6bd9b7d243d63a0cd1166aa9c63dddda4bf29,592d49d03e1d329dee388d65d5e7c0c74727b081c7888f72b200a3d49a9f761a,6e5a2d7fff5d93d0ca5734aaa42b62a5a2c38c391aa015c2c994e8ad84e81b47,3ab97798a36fdd1af9642c2f4ca2c44425d1078314b1781d936dfb5620782eac,0.27384666609577835,r1_mse_matched
1,mse,0.75,0.02,0.9,300022,r1_mse_sigma0.75_lr0.02,12,ok,,0.7994836948826762,6.551005727466768,0.32552536709586516,0.09505340719199262,01132f8d76a31fb1533df417971bebb1e16141690bd2f32439d016369638852b,0236641094670eb129ba35350d11bcad44e89884a4dbed23ad8adf5e7b47c52e,dbaef4df14146e5e884f9b2cec79fa4dab19264587c680094bb725a96b48d7ff,714e8d335afef450cd58ee6265375922e225a3d1c93a2ceac31dfba6caf20954,0.2641322909621522,r1_mse_matched
1,mse,0.75,0.02,0.9,300023,r1_mse_sigma0.75_lr0.02,12,ok,,0.78823759336979,6.367797266311579,0.3247900785988147,0.0951634930294527,8569b0c8c05e42f7fd61099236414ab6ce3713f6a415fa14439fdfd258b928ba,d309ac4b205e9879f73bdfe3454618e4b2f8674023509d75c5d8e5d9c6444e79,bd48f8b06cf09ef4df174486d8fc985e96347b9e05aa464b06fc1f3c77c4843c,a8c3bb014d67cd3a83443dac61ba4c9c8e7edb5a8430176ad0fcfb5bf882fdf3,0.29728175001218915,r1_mse_matched
1,mse,0.75,0.02,0.9,300024,r1_mse_sigma0.75_lr0.02,12,ok,,0.6843111326444551,6.278278975927678,0.36498935001826704,0.11022678370551665,0790780dbf8b15e4f2cdee78286694884ef6f0989269cd40dce812f11c818968,cac32651e1651a8f3598f530661e966484a5eb6d2555c9964fd8bd3dd7a87972,916f15260079a7a4c027c920f7b7b09a6761ca4cf413cf0730d6d477188f1ec3,edc0b08bc74b1b1970cc417886b0a9021438552c5e00413633218d4bee9fb329,0.29696404095739126,r1_mse_matched
1,mse,0.75,0.02,0.9,300025,r1_mse_sigma0.75_lr0.02,12,ok,,0.747461152782569,6.352552527921081,0.3395236982770077,0.10049901468999427,e6c0956e9a29de034cd0ea6472278f9f9e305434300df8b4e8f108cd08f26886,50ff6677861293934dc3f7a0e6bbea9c1b904b4976071959176694c02e0f577f,3802da75beec3e84002bb5c4f02d205dbb057b759f815863a498bd63f4f64f8d,24374afebcb2ad9ae5877b2c10d9f8f63d1f261a139cacff8a67e9886a7cd96f,0.28158370801247656,r1_mse_matched
1,mse,0.75,0.02,0.9,300026,r1_mse_sigma0.75_lr0.02,12,ok,,0.6093389656520314,6.235231421386479,0.38815743862347085,0.11489460183254736,8259c7252ea55af17697ec3e92fa664cfff2cc2c62b2fc54f2eea6704162cff1,3ce53c419a8d2a98d1de9e36c588e27e9bb5fe7181e80c9c70731f6462d4cb14,69921f13f2acb1ee11115fe84bd7d2ef292c18a3f40808ac325767c7b1fb0d9d,27492fc87eb3d1601e1c28ca4055ad242c94f9998763844b8ed3975c3e66d12a,0.27353583299554884,r1_mse_matched
1,mse,0.75,0.02,0.9,300027,r1_mse_sigma0.75_lr0.02,12,ok,,0.7500310818910697,6.426791273144588,0.3516189333928688,0.10654053681803924,555f7ef7f5300d55eab90b7abc2509c6ddd5a82433086073d518b2553e5ab635,a7d852e0006855682420200c1d8bf0f5ce4d270c112bc0971781ca1840f21e60,37ba21b9f0a05409a1137f2fbeb6d3194b78e0126282977521d8abf2777f3295,def31dcbd6acfdee51896e1bc24e87190f7ce2699b8cd9b0d8826f1f9497046b,0.2756118329707533,r1_mse_matched
1,mse,0.75,0.02,0.9,300028,r1_mse_sigma0.75_lr0.02,12,ok,,0.6807890358167878,6.271203216904633,0.357983158149201,0.1056050316540143,2c90d269abc02edd082587ca1c45ee3ffd608040bfa33037f48b60e800345af8,a6c7eca434b19ab72070f4331f4b1381a949bbc03165c5322c19b18d31fc02b2,7f3e17c5db0382da1a0b503fccc4d29988a1aa61c8e288fc0ecc8a6fe4ae8091,a4fd4aff28a0a19551ce44b5e33634baa429275c36fc871123d29e36b921950a,0.2758158330107108,r1_mse_matched
1,mse,0.75,0.02,0.9,300029,r1_mse_sigma0.75_lr0.02,12,ok,,0.9420488746548787,6.571344844665466,0.3078892428245816,0.09236677284737448,eefaa70b2e4f9712c8d2fad79662c2cbf1b04130f1281468ae404c807d3d474a,1871ee4f3ec66be83578b8d08c9fe3fe9d7e22fc8fda48d8e405c13fa4ada97f,0ebc3668cbaea98d0ef2948f14f4d6f1a7df4bf73142674a875005a23b1d201c,4071fe23ba4fd1f002cb4bd9fa29836701e868620c45d1b193ffe1b4697c944e,0.28018979192711413,r1_mse_matched
1,mse,0.75,0.02,0.9,300030,r1_mse_sigma0.75_lr0.02,12,ok,,0.7024751319529485,6.395106010934308,0.35047381297276053,0.10619356533074643,689c46954bb970719c1ccbfa862609bf50d62d91f6ddf57a68b1db613dccbd89,a56675cf7971dee4a5708aaa7631775cc4ee0dbbf031c92437f8dbf764a22761,0fc58e813db6c0a6666e214f974e70e6ac4e69ae6cfcb7f21c393ccb800cbd0f,59d2c63bac7ddb6966e89a9d8616abf900ae473e0b34d01be1e3835598e16784,0.29535341600421816,r1_mse_matched
